timestamp,Soil humidity 1,Air temperature (C),Air humidity (%),Pressure (KPa)
23/02/2019 0:00,67.92,19.52,55.04,101.5
23/02/2019 0:05,67.89,19.49,55.17,101.5
23/02/2019 0:10,67.86,19.47,55.3,101.51
23/02/2019 0:15,67.84,19.54,54.2,101.51
23/02/2019 0:20,67.81,19.61,53.09,101.51
23/02/2019 0:25,67.78,19.67,51.91,101.51
23/02/2019 0:30,67.76,19.74,50.72,101.5
23/02/2019 0:35,67.73,19.8,49.54,101.5
23/02/2019 0:40,67.7,19.91,47.7,101.5
23/02/2019 0:45,67.68,20.02,45.86,101.5
23/02/2019 0:50,67.65,20.1,44.76,101.5
23/02/2019 0:55,67.62,20.19,43.67,101.49
23/02/2019 1:00,67.59,20.3,42.56,101.49
23/02/2019 1:05,67.57,20.41,41.44,101.49
23/02/2019 1:10,67.54,20.41,41.58,101.48
23/02/2019 1:15,67.51,20.41,41.71,101.48
23/02/2019 1:20,67.49,20.61,40.34,101.48
23/02/2019 1:25,67.46,20.81,38.96,101.48
23/02/2019 1:30,67.43,20.93,37.33,101.48
23/02/2019 1:35,67.41,21.06,35.69,101.48
23/02/2019 1:40,67.38,21.18,34.06,101.47
23/02/2019 1:45,67.35,21.3,32.42,101.47
23/02/2019 1:50,67.32,21.35,31.07,101.46
23/02/2019 1:55,67.3,21.4,29.72,101.46
23/02/2019 2:00,67.27,21.44,28.38,101.46
23/02/2019 2:05,67.24,21.49,27.03,101.45
23/02/2019 2:10,67.22,21.56,26.62,101.44
23/02/2019 2:15,67.19,21.62,26.22,101.43
23/02/2019 2:20,67.16,21.66,25.72,101.42
23/02/2019 2:25,67.14,21.69,25.21,101.41
23/02/2019 2:30,67.11,21.48,25.8,101.4
23/02/2019 2:35,67.08,21.28,26.39,101.4
23/02/2019 2:40,67.05,21.3,25.53,101.39
23/02/2019 2:45,67.03,21.32,24.67,101.38
23/02/2019 2:50,67,21.28,24.32,101.38
23/02/2019 2:55,66.97,21.24,23.96,101.37
23/02/2019 3:00,66.94,21.2,23.81,101.36
23/02/2019 3:05,66.92,21.16,23.66,101.36
23/02/2019 3:10,66.89,21.13,23.5,101.35
23/02/2019 3:15,66.86,21.09,23.35,101.35
23/02/2019 3:20,66.83,21.1,23.09,101.35
23/02/2019 3:25,66.81,21.11,22.84,101.34
23/02/2019 3:30,66.78,21.12,22.58,101.34
23/02/2019 3:35,66.75,21.13,22.32,101.34
23/02/2019 3:40,66.72,20.94,22.58,101.34
23/02/2019 3:45,66.69,20.76,22.83,101.34
23/02/2019 3:50,66.67,20.56,23.4,101.34
23/02/2019 3:55,66.64,20.36,23.97,101.34
23/02/2019 4:00,66.61,20.15,24.54,101.33
23/02/2019 4:05,66.58,19.95,25.11,101.33
23/02/2019 4:10,66.56,19.71,26.29,101.34
23/02/2019 4:15,66.53,19.47,27.47,101.34
23/02/2019 4:20,66.5,19.32,27.99,101.34
23/02/2019 4:25,66.47,19.18,28.51,101.34
23/02/2019 4:30,66.44,19.21,28.64,101.34
23/02/2019 4:35,66.42,19.24,28.77,101.34
23/02/2019 4:40,66.39,19.17,29.56,101.34
23/02/2019 4:45,66.36,19.1,30.36,101.33
23/02/2019 4:50,66.33,19.02,31.01,101.33
23/02/2019 4:55,66.31,18.93,31.66,101.33
23/02/2019 5:00,66.28,18.74,31.96,101.33
23/02/2019 5:05,66.25,18.55,32.25,101.33
23/02/2019 5:10,66.22,18.63,31.86,101.33
23/02/2019 5:15,66.19,18.71,31.47,101.33
23/02/2019 5:20,66.17,18.87,30.63,101.34
23/02/2019 5:25,66.14,19.03,29.79,101.34
23/02/2019 5:30,66.11,19.02,29.64,101.34
23/02/2019 5:35,66.08,19,29.5,101.35
23/02/2019 5:40,66.06,19.04,29.16,101.35
23/02/2019 5:45,66.03,19.07,28.81,101.35
23/02/2019 5:50,66,19.11,28.47,101.35
23/02/2019 5:55,65.97,19.11,28.2,101.35
23/02/2019 6:00,65.94,19.1,27.92,101.36
23/02/2019 6:05,65.92,19.1,27.65,101.36
23/02/2019 6:10,65.89,19.1,27.38,101.37
23/02/2019 6:15,65.86,18.87,27.66,101.37
23/02/2019 6:20,65.83,18.64,27.93,101.37
23/02/2019 6:25,65.81,18.48,28.11,101.36
23/02/2019 6:30,65.78,18.31,28.29,101.36
23/02/2019 6:35,65.75,18.46,27.32,101.36
23/02/2019 6:40,65.72,18.62,26.36,101.37
23/02/2019 6:45,65.69,18.72,25.4,101.38
23/02/2019 6:50,65.67,18.81,24.45,101.38
23/02/2019 6:55,65.64,19.04,23.14,101.38
23/02/2019 7:00,65.61,19.27,21.83,101.39
23/02/2019 7:05,65.58,19.36,21.06,101.4
23/02/2019 7:10,65.56,19.45,20.29,101.41
23/02/2019 7:15,65.53,19.42,20.58,101.42
23/02/2019 7:20,65.5,19.38,20.88,101.43
23/02/2019 7:25,65.47,19.33,21.33,101.44
23/02/2019 7:30,65.44,19.28,21.78,101.44
23/02/2019 7:35,65.42,19.24,22.22,101.44
23/02/2019 7:40,65.39,19.19,22.67,101.45
23/02/2019 7:45,65.36,19.26,22.7,101.46
23/02/2019 7:50,65.33,19.32,22.74,101.46
23/02/2019 7:55,65.31,19.6,22.42,101.46
23/02/2019 8:00,65.28,19.89,22.11,101.46
23/02/2019 8:05,65.25,20.28,22.04,101.46
23/02/2019 8:10,65.22,20.68,21.97,101.47
23/02/2019 8:15,65.19,21.21,21.44,101.48
23/02/2019 8:20,65.17,21.74,20.9,101.49
23/02/2019 8:25,65.14,22.44,20.58,101.49
23/02/2019 8:30,65.11,23.13,20.27,101.49
23/02/2019 8:35,65.08,23.76,19.5,101.49
23/02/2019 8:40,65.06,24.4,18.73,101.5
23/02/2019 8:45,65.03,25.04,17.96,101.5
23/02/2019 8:50,65,25.67,17.2,101.51
23/02/2019 8:55,64.97,26.3,16.43,101.52
23/02/2019 9:00,64.94,26.94,15.66,101.52
23/02/2019 9:05,64.92,27.38,14.2,101.52
23/02/2019 9:10,64.89,27.83,12.75,101.52
23/02/2019 9:15,64.86,28.14,12.24,101.52
23/02/2019 9:20,64.83,28.46,11.74,101.53
23/02/2019 9:25,64.81,28.94,11.29,101.54
23/02/2019 9:30,64.78,29.42,10.84,101.55
23/02/2019 9:35,64.75,29.82,10.43,101.55
23/02/2019 9:40,64.72,30.22,10.02,101.55
23/02/2019 9:45,64.69,30.54,9.84,101.55
23/02/2019 9:50,64.67,30.86,9.65,101.55
23/02/2019 9:55,64.64,31.27,9.33,101.56
23/02/2019 10:00,64.61,31.69,9.01,101.56
23/02/2019 10:05,64.58,32.1,8.7,101.56
23/02/2019 10:10,64.56,32.51,8.38,101.57
23/02/2019 10:15,64.53,32.93,8.06,101.58
23/02/2019 10:20,64.5,33.34,7.74,101.58
23/02/2019 10:25,64.47,33.28,7.15,101.58
23/02/2019 10:30,64.44,33.23,6.56,101.59
23/02/2019 10:35,64.42,33.62,6.36,101.58
23/02/2019 10:40,64.39,34.01,6.17,101.58
23/02/2019 10:45,64.36,34.36,5.97,101.58
23/02/2019 10:50,64.33,34.71,5.77,101.58
23/02/2019 10:55,64.31,35.04,5.66,101.57
23/02/2019 11:00,64.28,35.37,5.56,101.56
23/02/2019 11:05,64.25,35.04,5.48,101.56
23/02/2019 11:10,64.22,34.71,5.41,101.55
23/02/2019 11:15,64.19,35.13,5.28,101.55
23/02/2019 11:20,64.17,35.55,5.14,101.55
23/02/2019 11:25,64.14,35.55,5.13,101.54
23/02/2019 11:30,64.11,35.55,5.12,101.54
23/02/2019 11:35,64.08,36,4.88,101.54
23/02/2019 11:40,64.06,36.46,4.64,101.54
23/02/2019 11:45,64.03,36.39,4.66,101.54
23/02/2019 11:50,64,36.33,4.69,101.53
23/02/2019 11:55,64.05,36.33,4.48,101.52
23/02/2019 12:00,64.1,36.32,4.28,101.51
23/02/2019 12:05,64.14,36.32,4.07,101.5
23/02/2019 12:10,64.19,36.31,3.86,101.49
23/02/2019 12:15,64.24,36.53,3.92,101.48
23/02/2019 12:20,64.29,36.76,3.97,101.47
23/02/2019 12:25,64.34,37.06,3.88,101.46
23/02/2019 12:30,64.38,37.36,3.8,101.46
23/02/2019 12:35,64.43,37.69,3.72,101.45
23/02/2019 12:40,64.48,38.02,3.65,101.44
23/02/2019 12:45,64.53,37.6,3.51,101.43
23/02/2019 12:50,64.58,37.17,3.38,101.42
23/02/2019 12:55,64.62,36.66,3.75,101.41
23/02/2019 13:00,64.67,36.15,4.12,101.4
23/02/2019 13:05,64.72,35.44,4.32,101.38
23/02/2019 13:10,64.77,34.72,4.53,101.37
23/02/2019 13:15,64.82,34.78,4.85,101.36
23/02/2019 13:20,64.86,34.85,5.17,101.35
23/02/2019 13:25,64.91,34.93,4.87,101.34
23/02/2019 13:30,64.96,35.01,4.57,101.34
23/02/2019 13:35,65.01,35.45,4.49,101.33
23/02/2019 13:40,65.05,35.89,4.4,101.32
23/02/2019 13:45,65.1,36.3,3.99,101.32
23/02/2019 13:50,65.15,36.71,3.57,101.31
23/02/2019 13:55,65.2,36.77,3.71,101.3
23/02/2019 14:00,65.25,36.83,3.85,101.3
23/02/2019 14:05,65.29,36.7,3.97,101.28
23/02/2019 14:10,65.34,36.56,4.09,101.27
23/02/2019 14:15,65.39,36.36,4.35,101.26
23/02/2019 14:20,65.44,36.15,4.61,101.25
23/02/2019 14:25,65.49,36.2,4.62,101.24
23/02/2019 14:30,65.53,36.25,4.63,101.23
23/02/2019 14:35,65.58,36.12,4.7,101.22
23/02/2019 14:40,65.63,36,4.77,101.21
23/02/2019 14:45,65.68,35.88,4.84,101.2
23/02/2019 14:50,65.73,35.75,4.91,101.19
23/02/2019 14:55,65.77,35.59,4.59,101.18
23/02/2019 15:00,65.82,35.43,4.27,101.18
23/02/2019 15:05,65.87,35.48,4.22,101.17
23/02/2019 15:10,65.92,35.52,4.17,101.16
23/02/2019 15:15,65.97,35.52,4.06,101.15
23/02/2019 15:20,66.01,35.52,3.96,101.14
23/02/2019 15:25,66.06,35.42,3.88,101.14
23/02/2019 15:30,66.11,35.33,3.8,101.13
23/02/2019 15:35,66.16,35.24,3.98,101.12
23/02/2019 15:40,66.21,35.15,4.17,101.11
23/02/2019 15:45,66.25,35.34,4.12,101.1
23/02/2019 15:50,66.3,35.52,4.06,101.1
23/02/2019 15:55,66.35,35.53,3.96,101.1
23/02/2019 16:00,66.4,35.55,3.87,101.09
23/02/2019 16:05,66.45,35.4,3.7,101.08
23/02/2019 16:10,66.49,35.25,3.53,101.08
23/02/2019 16:15,66.54,35.35,3.34,101.06
23/02/2019 16:20,66.59,35.24,2.96,101.06
23/02/2019 16:25,66.64,35.13,2.58,101.05
23/02/2019 16:30,66.68,35.03,2.74,101.05
